qx	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
0	0.12771	0.11457	0.109832845413696	0.10701	0.10136	0.0898	0.08517	0.0861943720424336	0.08	0.0726277637750007	0.06676	0.064124190773715	0.0619	0.0597851954330123	0.0577	0.0558241303030195	0.0576	0.0568	0.0579	0.0569	0.0553650555409769	0.0387	0.0402	0.0384	0.0389	0.0361	0.0346	0.03218	0.03244	0.02837	0.0279	0.0269	0.0266	0.0252	0.02463	0.0239	0.0236	0.0235
1	0.0571254972543535	0.0455033147736128	0.0502461396333482	0.0536288200315793	0.0504874031870382	0.0466051417270929	0.02192	0.0219353926827388	0.0180760869565217	0.0147169659686127	0.0125155372680125	0.0110204720031135	0.00949792133034858	0.00936853100757262	0.00848986522338958	0.00799402819610218	0.00859507640067912	0.00911789652247668	0.00902239677316633	0.00805853037853886	0.00837024360664929	0.0073	0.0068	0.0067	0.0058	0.0057	0.0057	0.00543	0.00522964984083674	0.00468285252616737	0.005	0.0045	0.0043	0.0039	0.00380368475552867	0.0035	0.0037	0.0036
5	0.0173747051528342	0.020044016375985	0.0143024877386764	0.0108977317099145	0.0103484242971158	0.00965682546267487	0.01336	0.0138585923755262	0.0115788658024951	0.00933826191470633	0.00786709492599505	0.00701669879676869	0.00650028519463188	0.00597684940471899	0.00545863213100717	0.00511015449361263	0.00545804794520548	0.00502888936443398	0.00524850042844901	0.0051309460181721	0.00502186455729947	0.0045	0.004	0.004	0.0038	0.0037	0.0033	0.00279	0.00284675324675325	0.002947015758779	0.003	0.0028	0.0025	0.0025	0.00233618409542334	0.0024	0.0024	0.0023
10	0.0121880297462168	0.0156363197295339	0.0100603098515104	0.00687864867451431	0.00638292833120174	0.00613218524552013	0.0101	0.00984797473461507	0.00916105766538621	0.00819144541064099	0.0071748094191248	0.00653386593527461	0.00600119157233386	0.00519600872391224	0.00462813475406307	0.0042718924060291	0.00441239776151528	0.0044090762447575	0.00473780553461828	0.00451273235199312	0.00410711043979017	0.0037	0.0032	0.0031	0.0029	0.003	0.0031	0.0025	0.00262565641410353	0.00249940366924904	0.0026	0.0025	0.0022	0.0021	0.00219723540334227	0.0023	0.0021	0.0022
15	0.0131901994187794	0.0160196258816314	0.0123008304409544	0.0102509124637123	0.009546510934986	0.00906185241122546	0.008	0.00946704822930078	0.0102969267460129	0.00855772430918811	0.00817405673368218	0.00756031731236395	0.0069964363945467	0.00666835581657621	0.00616282841388258	0.00598995731846597	0.00637768889849746	0.00702019656550383	0.00724794461272177	0.00723151645979493	0.00640170904876969	0.0056	0.0048	0.0047	0.0045	0.0041	0.0043	0.00366	0.00360411182148677	0.0036909192988293	0.0037	0.0033	0.0036	0.0033	0.00343237598990964	0.0046	0.0033	0.0031
20	0.0153340357201792	0.0173524975379898	0.0161523053016998	0.0164058126232262	0.015426453600308	0.0145913822233249	0.00901	0.00927240568674681	0.00915922432105251	0.00849294846644177	0.0084635633601013	0.00762545045792329	0.00680428889693697	0.00683697631779601	0.00641862489120975	0.00622809952756243	0.00924717145343777	0.0154448553404394	0.0150375939849624	0.0122852794085671	0.010338918614711	0.0082	0.0075	0.0062	0.0063	0.0054	0.0058	0.00495	0.00487528701286447	0.00504033310027445	0.0048	0.0048	0.0048	0.0041	0.00449193422895378	0.0046	0.0044	0.0048
25	0.0177385878743345	0.0194603371941086	0.016842271796401	0.0168650548145215	0.0155826061450466	0.0147954534554698	0.00955	0.00956233415496155	0.00920931304748732	0.00906146441477551	0.00841258639423777	0.00803237989304117	0.00770174256069128	0.00718482365806383	0.00700755502025621	0.00749839415843445	0.0104326817482978	0.0161290322580645	0.0152671755725191	0.0134287286736379	0.0120499120276992	0.0096	0.008	0.0075	0.0073	0.0069	0.0069	0.00599	0.00594222137935394	0.00610421211612687	0.0058	0.0055	0.0057	0.005	0.00536670765511348	0.0052	0.0052	0.005
30	0.0198963186560798	0.0201053135471517	0.0209849444686788	0.0243030646277767	0.021664369871007	0.0197517342095655	0.01247	0.0127341620036889	0.0128197671036866	0.0116872142337593	0.0113194758246724	0.00964254472079173	0.00849647001180375	0.00807052163736943	0.00793913331128018	0.00863999874656707	0.0108743897026187	0.0156074556478778	0.0141557128412538	0.0123828647925033	0.0112615070637215	0.0096	0.0078	0.0082	0.0079	0.0072	0.0077	0.00678	0.00647588765235824	0.00692260610793356	0.0061	0.0063	0.0062	0.0055	0.00592999256131675	0.0057	0.0054	0.0055
35	0.0228042689377201	0.0207290827710955	0.026975693529435	0.0336153965223673	0.0321692342833938	0.0301438911443008	0.01627	0.0164520261525934	0.0156259206448344	0.0149900061814855	0.0182819534267236	0.012166755358291	0.0113994990959018	0.0100294830757439	0.0097821253890618	0.0108000177544348	0.0135756759789072	0.0171096156039694	0.0153846153846154	0.0133303208314505	0.0130776747459235	0.0108	0.0102	0.0098	0.0093	0.0085	0.0085	0.00783	0.00801160669518557	0.00861794147025694	0.0078	0.0077	0.0083	0.0069	0.0069877003825845	0.0074	0.0067	0.0071
40	0.0279132865599649	0.0247407946716283	0.0309395390992879	0.0358525321017646	0.0350741474032019	0.0349722858715549	0.02	0.0183011788146636	0.0179928890378653	0.0173384175906074	0.0157242952582695	0.015360408997206	0.0144051622284831	0.0137315472406901	0.0135817712425637	0.0143341411912877	0.0177434030937216	0.0227457351746548	0.0199074074074074	0.0180902221204488	0.0169927963694712	0.0146	0.0133	0.0122	0.0124	0.011	0.012	0.01115	0.010958403234826	0.0110295299855298	0.0104	0.0104	0.0102	0.0095	0.00926564705632622	0.0094	0.0092	0.0093
